2,AnnLinear,Epoch 60 Loss,0.634885907
8,AnnLinear,Epoch 30 Loss,0.635179937
13,AnnLinear,Epoch 50 Loss,0.635330319
18,AnnLinear,Epoch 70 Loss,0.638121486
14,AnnLinear,Epoch 40 Loss,0.638719797
9,AnnLinear,Epoch 60 Loss,0.638777137
5,AnnLinear,Epoch 60 Loss,0.63935411
10,AnnLinear,Epoch 40 Loss,0.64031899
11,AnnLinear,Epoch 60 Loss,0.641115069
1,AnnLinear,Epoch 40 Loss,0.641689003
4,AnnLinear,Epoch 90 Loss,0.643636584
9,AnnLinear,Epoch 90 Loss,0.644302189
6,AnnLinear,Epoch 40 Loss,0.650027335
4,AnnLinear,Epoch 50 Loss,0.650299907
7,AnnLinear,Epoch 50 Loss,0.651526213
15,AnnLinear,Epoch 80 Loss,0.652738214
12,AnnLinear,Epoch 40 Loss,0.657712042
0,AnnLinear,Epoch 80 Loss,0.659810483
21,AnnLinear,Epoch 60 Loss,0.662923157
6,AnnLinear,Epoch 70 Loss,0.664869964
8,AnnLinear,Epoch 70 Loss,0.665424764
5,AnnLinear,Epoch 80 Loss,0.668914139
0,AnnLinear,Epoch 80 Loss,0.672249079
9,AnnLinear,Epoch 80 Loss,0.672865748
20,AnnLinear,Epoch 80 Loss,0.674372733
1,AnnLinear,Epoch 40 Loss,0.675013959
4,AnnLinear,Epoch 80 Loss,0.675848067
24,AnnLinear,Epoch 60 Loss,0.677260995
5,AnnLinear,Epoch 50 Loss,0.677711606
13,AnnLinear,Epoch 40 Loss,0.679056942
2,AnnLinear,Epoch 50 Loss,0.68002224
3,AnnLinear,Epoch 50 Loss,0.683408618
23,AnnLinear,Epoch 30 Loss,0.68834281
3,AnnLinear,Epoch 50 Loss,0.688426197
2,AnnLinear,Epoch 50 Loss,0.688551545
16,AnnLinear,Epoch 40 Loss,0.690728903
14,AnnLinear,Epoch 30 Loss,0.692906678
9,AnnLinear,Epoch 50 Loss,0.694377363
11,AnnLinear,Epoch 50 Loss,0.694607913
18,AnnLinear,Epoch 60 Loss,0.694956422
15,AnnLinear,Epoch 70 Loss,0.69766736
7,AnnLinear,Epoch 40 Loss,0.699908674
22,AnnLinear,Epoch 90 Loss,0.70166409
17,AnnLinear,Epoch 30 Loss,0.702804625
19,AnnLinear,Epoch 90 Loss,0.702969372
9,AnnLinear,Epoch 70 Loss,0.704869509
5,AnnLinear,Epoch 70 Loss,0.709338188
8,AnnLinear,Epoch 20 Loss,0.709973693
6,AnnLinear,Epoch 30 Loss,0.7132954
1,AnnLinear,Epoch 30 Loss,0.713896573
4,AnnLinear,Epoch 70 Loss,0.714133799
