0,AnnTwoHid,Epoch 0 Loss,1.115267515
21,AnnTwoHid,Epoch 90 Loss,0.024067108
2,AnnTwoHid,Epoch 90 Loss,0.027033055
21,AnnTwoHid,Epoch 80 Loss,0.027101556
21,AnnTwoHid,Epoch 70 Loss,0.031083468
2,AnnTwoHid,Epoch 80 Loss,0.031167991
18,AnnTwoHid,Epoch 90 Loss,0.031352621
7,AnnTwoHid,Epoch 90 Loss,0.034793511
18,AnnTwoHid,Epoch 80 Loss,0.035342202
21,AnnTwoHid,Epoch 60 Loss,0.037811942
2,AnnTwoHid,Epoch 70 Loss,0.038010728
5,AnnTwoHid,Epoch 90 Loss,0.038025558
19,AnnTwoHid,Epoch 90 Loss,0.040104225
7,AnnTwoHid,Epoch 80 Loss,0.040134232
1,AnnTwoHid,Epoch 90 Loss,0.040874168
18,AnnTwoHid,Epoch 70 Loss,0.041635666
23,AnnTwoHid,Epoch 90 Loss,0.041915789
5,AnnTwoHid,Epoch 80 Loss,0.042312253
8,AnnTwoHid,Epoch 90 Loss,0.043203201
20,AnnTwoHid,Epoch 90 Loss,0.043498013
19,AnnTwoHid,Epoch 80 Loss,0.045682196
1,AnnTwoHid,Epoch 80 Loss,0.046486061
16,AnnTwoHid,Epoch 90 Loss,0.046537522
17,AnnTwoHid,Epoch 90 Loss,0.049083725
23,AnnTwoHid,Epoch 80 Loss,0.049231116
7,AnnTwoHid,Epoch 70 Loss,0.049465489
5,AnnTwoHid,Epoch 70 Loss,0.049734019
17,AnnTwoHid,Epoch 80 Loss,0.050379746
21,AnnTwoHid,Epoch 50 Loss,0.050584681
2,AnnTwoHid,Epoch 60 Loss,0.05129591
18,AnnTwoHid,Epoch 60 Loss,0.051704947
20,AnnTwoHid,Epoch 80 Loss,0.052415844
17,AnnTwoHid,Epoch 70 Loss,0.052514646
16,AnnTwoHid,Epoch 80 Loss,0.053356834
2,AnnTwoHid,Epoch 90 Loss,0.054421797
24,AnnTwoHid,Epoch 90 Loss,0.054840948
8,AnnTwoHid,Epoch 80 Loss,0.054924447
0,AnnTwoHid,Epoch 90 Loss,0.05510769
1,AnnTwoHid,Epoch 70 Loss,0.055388935
14,AnnTwoHid,Epoch 90 Loss,0.055672348
19,AnnTwoHid,Epoch 70 Loss,0.055883236
9,AnnTwoHid,Epoch 90 Loss,0.056079045
0,AnnTwoHid,Epoch 90 Loss,0.056106735
17,AnnTwoHid,Epoch 60 Loss,0.057028357
15,AnnTwoHid,Epoch 90 Loss,0.057176225
22,AnnTwoHid,Epoch 90 Loss,0.057696931
4,AnnTwoHid,Epoch 90 Loss,0.058045622
14,AnnTwoHid,Epoch 80 Loss,0.058252525
2,AnnTwoHid,Epoch 80 Loss,0.058391653
