0,0.966666667,,,Average
1,0.966666667,,,0.965625
2,0.966666667,,,
2,0.933333333,,,
3,1,,,
3,0.966666667,,,
4,1,,,
4,0.966666667,,,
5,0.966666667,,,
5,1,,,
6,0.966666667,,,
6,1,,,
7,0.933333333,,,
7,0.966666667,,,
8,0.933333333,,,
9,0.966666667,,,
9,1,,,
10,0.966666667,,,
11,1,,,
12,0.966666667,,,
13,0.966666667,,,
14,0.966666667,,,
15,0.966666667,,,
16,0.966666667,,,
17,0.933333333,,,
18,0.933333333,,,
19,0.966666667,,,
20,0.966666667,,,
21,0.933333333,,,
22,0.933333333,,,
23,0.933333333,,,
24,1,,,
